name,year,city,state,country,image,description
North Coast Brewing Company,1988,Fort Bragg,CA,United States,northcoast2.png,"Under the leadership of brew master Mark Ruedrich, North Coast Brewing Company has developed a strong reputation for quality having won more than 70 awards in national and international competitions. In addition to Red Seal Ale, Old Rasputin Russian Imperial Stout, Scrimshaw Pilsner, and other fine North Coast brands, the brewery has resurrected the old Acme label with a heritage dating back to the San Francisco of the 1860’s."
Pretty Things Beer And Ale Project,2008,Somerville,MA,United States,prettythings2.png,"It all started in Yorkshire, England, at the time home to beer-brewer Dann Paquette and his wife Martha. Dann was brewing at a small family-owned 'real ale' brewery in Harrogate and Martha was a scientist in York. On the weekends they'd explore the nearby Moors and Dales and the small towns and pubs that are dotted about them. One of these small towns, Ripon is home to a fantastic cathedral, which stands guard over an ancient Saxon crypt, hidden down a narrow staircase."
Samuel Adams (Boston Beer Company),1984,Boston,MA,United States,samadams2.png,"The Samuel Adams brand began in 1984 with Samuel Adams Lager, a 4.8% abv amber or Vienna lager. Jim Koch, the sixth-generation, first-born son to follow in his family's brewing footsteps, brewed his first batch of the beer in his kitchen, using the original family recipe for Louis Koch Lager. In December 1984, Koch left his career at Boston Consulting Group and along with Rubin and Lamadrid, founded the Samuel Adams brewery."
Sierra Nevada Brewing Company,1980,Chico,CA,United States,sierra2.png,"Sierra Nevada Brewing is one of the most popular craft breweries currently operating in the United States. Its Pale Ale is world renowned, and the brewery produces almost 700,000 barrels of beer per year. Sierra Nevada's Pale Ale is the second best-selling craft beer in the United States, behind the Boston Beer Company's Samuel Adams Boston Lager. Sierra Nevada's specialty brews include the winter seasonal Celebration, which is similar to the pale ale, but hoppier; and Summerfest, a lager which is citrusy and sunny."
Slumbrew,2011,Somerville,MA,United States,slumbrew.png,"Our story began nearly 15 years ago as our founders Caitlin Jewell and Jeff Leiter traveled around the country (and the world) trying to understand a renaissance in brewing that is now described as craft beer. With over 10 years as an avid home brewer, and construction of a small 350 square foot test lab brewery in Somerville, MA for recipe creation, Caitlin and Jeff set out in 2011 to make their beers available in Massachusetts."
Southern Tier Brewing Company,2004,Lakewood,NY,United States,southerntier3.jpg,"Southern Tier Brewing Company was founded in 2004 by Phineas DeMink and Allen Yahn with the vision of bringing small batch brewing back to a region rich in brewing tradition. In 2003 Skip and Phin purchased the defunct Old Saddle Back Brewing Co. in Pittsfield, Massachusetts. All the equipment was removed and brought back to Lakewood, New York and set up at its new 10,000 square foot home, The Southern Tier Brewing Company."
The Lost Abbey,2006,San Marcos,CA,United States,lostabbey4.jpeg,"Founded in 2006, Port Brewing and The Lost Abbey produce an extensive line-up of continental and American-inspired ales and lagers. Under the direction of visionary brewmaster and co-founder Tomme Arthur, the brewery has garnered dozens of awards in its seven-year history including the 2007 Great American Beer Festival Small Brewery of the Year, The 2008 world Beer Cup Champion Small Brewery and the 2013 Champion Brewery at the San Diego International Beer Festival."
Tröegs Brewing Company,1997,Hershey,PA,United States,troegs2.png,"Tröegs Brewery was founded in 1996 in Harrisburg, Pennsylvania, by brothers John and Chris Trogner. The name Tröegs is a combination of a nickname derived from the surname Trogner and the Dutch word kroeg ('pub'). The brewery was originally located at 800 Paxton Street in Harrisburg. Their first keg was sold to a Harrisburg restaurant in July, 1997. Tröegs began construction of their new brewery in 2010 and moved from Harrisburg to Hershey in fall 2011."
Unibroue,1990,Chambly,Quebec,Canada,unibroue3.gif,"From the very beginning, Unibroue has carved out a special niche in the beer world with top quality products and a brand rooted deep in Quebec culture. It made history by becoming the first North American beer maker to use a brewing method inspired by the two-centuries-old tradition developed by Trappist monks in Europe—particularly in Belgium. Over the years, Unibroue has remained faithful to its origins even as it has grown to become an icon of the brewing world."
Victory Brewing Company,1996,Downingtown,PA,United States,victory2.png,"Victory Brewing Company is a privately held craft brewery headquartered in Downingtown, Pennsylvania. Begun by Bill Covaleski and Ron Barchet, childhood friends who met on a school bus in 1973, the brewery formally began operations in February of 1996. Victory, Pennsylvania’s widely acclaimed brewery and restaurant, now serves fans of fully flavored beers in 34 states with innovative beers melding European ingredients and technology with American creativity."
